ARXXARG0CMT003
  ;CM;VoD;FLOW;MTA;SIP;PARTIAL;INIT;OFDM
PREVIO;11672;988;1583;10;657;715;19;10695
POSTERIOR;11556;968;1560;10;659;1935;14;10234
DELTA;-116;-20;-23;0;2;1220;-5;-461
DELTA %;-1.0%;-2.0%;-1.0%;0.0%;0.0%;63.0%;-36.0%;-5.0%

ARXXARG0CMT004
  ;CM;VoD;FLOW;MTA;SIP;PARTIAL;INIT;OFDM
PREVIO;11412;1338;1791;7;249;488;18;10134
POSTERIOR;11347;1318;39;7;252;1446;23;9894
DELTA;-65;-20;-1752;0;3;958;5;-240
DELTA %;-1.0%;-2.0%;-4492.0%;0.0%;1.0%;66.0%;22.0%;-2.0%

TOTAL
  ;CM;VoD;FLOW;MTA;SIP;PARTIAL;INIT;OFDM
PREVIO;23084;2326;3374;17;906;1203;37;20829
POSTERIOR;22903;2286;1599;17;911;3381;37;20128
DELTA;-181;-40;-1775;0;5;2178;0;-701
DELTA %;-1.0%;-2.0%;-53.0%;0.0%;1.0%;181.0%;0.0%;-3.0%
