ARCCCOG0CMT001
  ;CM;VoD;FLOW;MTA;SIP;PARTIAL;INIT;OFDM
PREVIO;13562;1082;3462;0;502;1137;161;12604
POSTERIOR;17662;1433;3512;0;503;1311;28;16355
DELTA;4100;351;50;0;1;174;-133;3751
DELTA %;23.0%;24.0%;1.0%;0%;0.0%;13.0%;-475.0%;23.0%

ARXXARG0CMT002
  ;CM;VoD;FLOW;MTA;SIP;PARTIAL;INIT;OFDM
PREVIO;11704;1494;1720;8;252;699;37;10316
POSTERIOR;11448;1473;1713;8;243;1383;35;9623
DELTA;-256;-21;-7;0;-9;684;-2;-693
DELTA %;-2.0%;-1.0%;-0.0%;0.0%;-4.0%;49.0%;-6.0%;-7.0%

TOTAL
  ;CM;VoD;FLOW;MTA;SIP;PARTIAL;INIT;OFDM
PREVIO;25266;2576;5182;8;754;1836;198;22920
POSTERIOR;29110;2906;5225;8;746;2694;63;25978
DELTA;3844;330;43;0;-8;858;-135;3058
DELTA %;15.0%;13.0%;1.0%;0.0%;-1.0%;47.0%;-68.0%;13.0%
